groupName	Gene	correlation
dn_mid	PLEKHA8P1	0.9989210157082017
dn_mid	CDNF	0.9982514961912252
dn_mid	CREB3L4	0.9973237830591278
dn_mid	LMX1B	0.996998777407238
dn_mid	SUOX	0.9969973754488084
dn_mid	TUBA3D	0.9969447020005217
dn_mid	ARHGEF37	0.9963393706228895
dn_mid	ADGRL1	0.9959796718312286
dn_mid	MMP19	0.9959490050387337
dn_mid	MINDY1	0.9952728558113912
dn_mid	C2orf81	0.9950106380944415
dn_mid	NHERF2	0.9947073745456125
dn_mid	SCD5	0.9946444943890044
dn_mid	RAB37	0.9945474676151526
dn_mid	C14orf93	0.9945255531717935
dn_mid	HOXB13	0.9938451188570685
dn_mid	SLC1A1	0.9935416075158686
dn_mid	ZNF815P	0.9929718002919548
dn_mid	CACNG6	0.992844076081403
dn_mid	PHF7	0.9926944457810631
up_late	ZNF385A	0.9958348677708909
up_late	ADORA2BP1	0.9944147724000882
up_late	SLC46A3	0.9928856611750182
up_late	HNRNPA1P27	0.9924856436752525
up_late	GGT2P	0.9922375964304802
up_late	SORCS2	0.992091343434951
up_late	LBP	0.9899816039751246
up_late	LTBP2	0.9881711416223425
up_late	AGTRAP	0.9867478797692012
up_late	KRT16	0.9864632279896467
up_late	SLC22A4	0.98610981511661
up_late	H2BC4	0.9850357368628744
up_late	KCNMA1	0.985028550270908
up_late	LIPH	0.9848653722797313
up_late	TMEM239	0.984758384991044
up_late	GGT1	0.9840932155273202
up_late	LAPTM5	0.9829539862973294
up_late	NPC1	0.9829050987590602
up_late	MILR1	0.9827991537586072
up_late	SLC16A3	0.9826373431656266
dn_late	STMN1	0.9995558812401633
dn_late	TK1	0.9994211621534619
dn_late	LGALS2	0.9993032076260903
dn_late	NCAPD3	0.9992692828398084
dn_late	CTSV	0.9989907114364415
dn_late	KRT4	0.998925120793998
dn_late	FIGNL1	0.9986515347242487
dn_late	RFC5	0.9978824209092569
dn_late	CENPU	0.9976733252867066
dn_late	POLE2	0.9975134100675697
dn_late	THBS1	0.9975064292185314
dn_late	PCLAF	0.9971950196222964
dn_late	ASF1B	0.9971186180982499
dn_late	ORC1	0.997089933800101
dn_late	ATAD5	0.9966756427302326
dn_late	HROB	0.9962546325594192
dn_late	TYMS	0.9960823386184412
dn_late	CENPM	0.9958085235732291
dn_late	MCM8	0.9954811014619146
dn_late	KIF15	0.9953411249906016
up_mid	TC2N	0.9983659730604851
up_mid	ADAR	0.9954312453855493
up_mid	EXT1	0.9938809794493846
up_mid	PARP14	0.9927397087424106
up_mid	SLC39A14	0.9924714803072964
up_mid	AKT3	0.9921157728614388
up_mid	DTX3L	0.9918233913596722
up_mid	ATP6V1C2	0.9907578029967075
up_mid	TRIM25	0.9900582625747675
up_mid	RRAS2	0.9898011670556652
up_mid	LYN	0.9897924148894841
up_mid	NFE2L3	0.989758469144517
up_mid	PLA2G4A	0.9878327642473728
up_mid	GBP4	0.9875941175050933
up_mid	SLMAP	0.9874044248196439
up_mid	AKR1C1	0.9862832111958818
up_mid	NIBAN1	0.986265317424837
up_mid	KMO	0.9857025309675874
up_mid	LIFR	0.9843569815867185
up_mid	EIF2AK2	0.9837629658504028
dn_mid-late	KIF12	0.9992445764382102
dn_mid-late	SEMA4G	0.9983549458086114
dn_mid-late	FGFR3	0.9977187718989579
dn_mid-late	PRODH	0.9974301552634579
dn_mid-late	CELSR2	0.9967898881063623
dn_mid-late	CCDC198	0.9967768518436696
dn_mid-late	FAM149A	0.9966473648116846
dn_mid-late	SMARCD3	0.9960279111664913
dn_mid-late	TRPS1	0.9957638768694689
dn_mid-late	TLCD2	0.9953443259035526
dn_mid-late	PDLIM2	0.9952775398966731
dn_mid-late	CDKN1C	0.9952158950440759
dn_mid-late	PCDHA3	0.9947311777765651
dn_mid-late	ROGDI	0.9920510787543954
dn_mid-late	CERS4	0.9919777750130678
dn_mid-late	PLA2G10	0.9917163178135768
dn_mid-late	CTDSPL	0.9910510525936316
dn_mid-late	NYNRIN	0.9909837621495053
dn_mid-late	OLFML3	0.9906077771983053
dn_mid-late	SNTB1	0.9901070899426736
up_mid-late	UBA7	0.999682914476842
up_mid-late	CD47	0.9991041313435595
up_mid-late	GABARAPL1	0.9982268081584478
up_mid-late	CD55	0.9981899853783756
up_mid-late	OTUD7A	0.9977732190997864
up_mid-late	SQOR	0.9971667973389547
up_mid-late	OSMR	0.9970430616676584
up_mid-late	GPR141	0.9969247440320921
up_mid-late	SECTM1	0.9965989267680809
up_mid-late	APOL1	0.9934638625430434
up_mid-late	FAM83A	0.9934211969876965
up_mid-late	TAPBP	0.9933553375996999
up_mid-late	ITGAM	0.9929578913941616
up_mid-late	RAI14	0.9928648723463153
up_mid-late	UBE2E1	0.9918327450587887
up_mid-late	CLDN12	0.9916359651967112
up_mid-late	UBE2H	0.9913242381979094
up_mid-late	JAK1	0.9910748937416702
up_mid-late	SLC11A2	0.9908350627486745
up_mid-late	PDCD5	0.9905327040914805
